code,type,sample_date,sample_value_1,sample_value_2,sample_market,sample_value_1_human,sample_value_2_human,category,type_name,confidence
600028,2,20260302,1196791027,1209911024,sh,119.68万股,120.99万股,rare_event,unknown_type_2,unknown
600028,2,20260303,1206419427,1218896866,sh,120.64万股,121.89万股,rare_event,unknown_type_2,unknown
600519,4,20100511,1124476518,1142638346,sh,112.45万股,114.26万股,rare_event,unknown_type_4,unknown
600519,4,20100531,1124440474,1149277962,sh,112.44万股,114.93万股,rare_event,unknown_type_4,unknown
600519,4,20100601,1124357898,1163262525,sh,112.44万股,116.33万股,rare_event,unknown_type_4,unknown
600519,4,20101014,1126237471,1163505091,sh,112.62万股,116.35万股,rare_event,unknown_type_4,unknown
600519,4,20110624,1129214116,1157779620,sh,112.92万股,115.78万股,rare_event,unknown_type_4,unknown
601318,4,20100322,1111650468,1142815621,sh,111.17万股,114.28万股,rare_event,unknown_type_4,unknown
601318,4,20101014,1115160576,1174408991,sh,111.52万股,117.44万股,rare_event,unknown_type_4,unknown
601318,4,20101210,1114531430,1178039501,sh,111.45万股,117.80万股,rare_event,unknown_type_4,unknown
601318,4,20101215,1114583859,1172324352,sh,111.46万股,117.23万股,rare_event,unknown_type_4,unknown
601318,4,20101221,1113642762,1151902024,sh,111.36万股,115.19万股,rare_event,unknown_type_4,unknown
600036,4,20100413,1098933862,1162387456,sh,109.89万股,116.24万股,rare_event,unknown_type_4,unknown
600036,4,20100415,1098933862,1145610240,sh,109.89万股,114.56万股,rare_event,unknown_type_4,unknown
600036,4,20100525,1096485437,1177932288,sh,109.65万股,117.79万股,rare_event,unknown_type_4,unknown
600036,4,20100602,1094524600,1141467218,sh,109.45万股,114.15万股,rare_event,unknown_type_4,unknown
600036,4,20100811,1096663695,1150901207,sh,109.67万股,115.09万股,rare_event,unknown_type_4,unknown
600028,4,20100622,1089659208,1139926303,sh,108.97万股,113.99万股,rare_event,unknown_type_4,unknown
600028,4,20101014,1091578102,1150922015,sh,109.16万股,115.09万股,rare_event,unknown_type_4,unknown
600028,4,20111014,1088505774,1148200714,sh,108.85万股,114.82万股,rare_event,unknown_type_4,unknown
600028,4,20120911,1086618337,1135414804,sh,108.66万股,113.54万股,rare_event,unknown_type_4,unknown
600028,4,20121112,1086828052,1156186112,sh,108.68万股,115.62万股,rare_event,unknown_type_4,unknown
600030,4,20100514,1101859389,1146768589,sh,110.19万股,114.68万股,rare_event,unknown_type_4,unknown
600030,4,20100519,1100894700,1170597478,sh,110.09万股,117.06万股,rare_event,unknown_type_4,unknown
600030,4,20101201,1094230999,1146430751,sh,109.42万股,114.64万股,rare_event,unknown_type_4,unknown
600030,4,20110503,1096107950,1148841984,sh,109.61万股,114.88万股,rare_event,unknown_type_4,unknown
600030,4,20110629,1094535086,1135116616,sh,109.45万股,113.51万股,rare_event,unknown_type_4,unknown
600519,5,20110506,0,1221485952,sh,0,122.15万股,rare_event,unknown_type_5,unknown
600519,5,20121211,0,1222439744,sh,0,122.24万股,rare_event,unknown_type_5,unknown
600519,5,20130611,0,1224905760,sh,0,122.49万股,rare_event,unknown_type_5,unknown
600519,5,20130903,0,1220976288,sh,0,122.10万股,rare_event,unknown_type_5,unknown
600519,5,20140302,0,1236802368,sh,0,123.68万股,rare_event,unknown_type_5,unknown
601318,5,20101206,1114492109,1166434304,sh,111.45万股,116.64万股,rare_event,unknown_type_5,unknown
601318,5,20110214,1112376607,1158660096,sh,111.24万股,115.87万股,rare_event,unknown_type_5,unknown
601318,5,20120530,1109991096,1212370944,sh,111.00万股,121.24万股,rare_event,unknown_type_5,unknown
601318,5,20120531,1109901967,1223395712,sh,110.99万股,122.34万股,rare_event,unknown_type_5,unknown
601318,5,20120601,1110038282,1225788160,sh,111.00万股,122.58万股,rare_event,unknown_type_5,unknown
600036,5,20121231,1096233779,3315351552,sh,109.62万股,331.54万股,rare_event,unknown_type_5,unknown
600036,5,20130826,0,1259007473,sh,0,125.90万股,rare_event,unknown_type_5,unknown
600036,5,20130827,0,1258902592,sh,0,125.89万股,rare_event,unknown_type_5,unknown
600036,5,20141222,1098855219,1199604736,sh,109.89万股,119.96万股,rare_event,unknown_type_5,unknown
600036,5,20180508,1106106122,1176256512,sh,110.61万股,117.63万股,rare_event,unknown_type_5,unknown
600028,5,20110107,1090686812,1176256512,sh,109.07万股,117.63万股,rare_event,unknown_type_5,unknown
600028,5,20130625,0,1161527296,sh,0,116.15万股,rare_event,unknown_type_5,unknown
600028,5,20131105,0,1253633984,sh,0,125.36万股,rare_event,unknown_type_5,unknown
600028,5,20131108,0,1275092828,sh,0,127.51万股,rare_event,unknown_type_5,unknown
600028,5,20131115,0,1285939763,sh,0,128.59万股,rare_event,unknown_type_5,unknown
600030,5,20070904,1117114860,1223983200,sh,111.71万股,122.40万股,rare_event,unknown_type_5,unknown
600030,5,20080425,0,1251719920,sh,0,125.17万股,rare_event,unknown_type_5,unknown
600030,5,20160229,0,1288935525,sh,0,128.89万股,rare_event,unknown_type_5,unknown
600030,5,20171214,0,3406786240,sh,0,340.68万股,rare_event,unknown_type_5,unknown
600030,5,20171215,0,3406893240,sh,0,340.69万股,rare_event,unknown_type_5,unknown
600519,6,20170317,1284284678,0,sh,128.43万股,0,rare_event,unknown_type_6,unknown
